Node 16, start at 207, n: 3, c:3
Node 17, start at 385, n: 3, c:3
Node 18, start at 245, n: 3, c:3
Node 19, start at 948, n: 3, c:3
Node 20, start at 989, n: 5, c:5
Node 0, start at 884, n: 7, c:7
Node 1, start at 824, n: 7, c:7
Node 2, start at 944, n: 7, c:7
Node 3, start at 780, n: 7, c:7
Node 4, start at 482, n: 7, c:7
Node 5, start at 306, n: 7, c:7
Node 6, start at 487, n: 7, c:7
Node 7, start at 725, n: 7, c:7
Node 8, start at 754, n: 7, c:7
Node 9, start at 324, n: 7, c:7
Node 10, start at 310, n: 7, c:7
Node 11, start at 529, n: 7, c:7
Node 12, start at 542, n: 7, c:7
Node 13, start at 414, n: 7, c:7
Node 14, start at 224, n: 7, c:7
Node 15, start at 128, n: 7, c:7
Node 16, start at 207, n: 7, c:7
Node 17, start at 385, n: 7, c:7
Node 18, start at 245, n: 7, c:7
Node 19, start at 948, n: 7, c:7
Node 20, start at 989, n: 7, c:7
Node 0, start at 4, n: 5, c:5
Node 1, start at 258, n: 5, c:5
Node 2, start at 27, n: 3, c:3
Node 3, start at 719, n: 3, c:3
Node 4, start at 963, n: 3, c:3
Node 5, start at 699, n: 3, c:3
Node 6, start at 494, n: 13, c:13
Node 7, start at 7, n: 3, c:3
Node 8, start at 924, n: 3, c:3
Node 9, start at 105, n: 5, c:5
Node 10, start at 390, n: 3, c:3
Node 11, start at 633, n: 11, c:11
Node 12, start at 820, n: 5, c:5
Node 13, start at 932, n: 5, c:5
Node 14, start at 903, n: 7, c:7
Node 15, start at 18, n: 5, c:5
Node 16, start at 913, n: 5, c:5
Node 17, start at 500, n: 7, c:7
Node 18, start at 932, n: 3, c:3
Node 19, start at 788, n: 7, c:7
Node 20, start at 46, n: 7, c:7
Node 0, start at 4, n: 5, c:5
Node 1, start at 258, n: 5, c:5
Node 2, start at 27, n: 5, c:5
Node 3, start at 719, n: 5, c:5
Node 4, start at 963, n: 5, c:5
Node 5, start at 699, n: 5, c:5
Node 6, start at 494, n: 5, c:5
Node 7, start at 7, n: 5, c:5
Node 8, start at 924, n: 5, c:5
Node 9, start at 105, n: 5, c:5
Node 10, start at 390, n: 5, c:5
Node 11, start at 633, n: 5, c:5
Node 12, start at 820, n: 5, c:5
Node 13, start at 932, n: 5, c:5
Node 14, start at 903, n: 5, c:5
Node 15, start at 18, n: 5, c:5
Node 16, start at 913, n: 5, c:5
Node 17, start at 500, n: 5, c:5
Node 18, start at 932, n: 5, c:5
Node 19, start at 788, n: 5, c:5
Node 20, start at 46, n: 5, c:5
Node 0, start at 330, n: 5, c:5
Node 1, start at 893, n: 5, c:5
Node 2, start at 38, n: 5, c:5
Node 3, start at 396, n: 7, c:7
Node 4, start at 527, n: 3, c:3
Node 5, start at 375, n: 7, c:7
Node 6, start at 245, n: 3, c:3
Node 7, start at 512, n: 5, c:5
Node 8, start at 18, n: 3, c:3
Node 9, start at 63, n: 3, c:3
Node 10, start at 10, n: 3, c:3
Node 11, start at 541, n: 3, c:3
Node 12, start at 871, n: 13, c:13
Node 13, start at 639, n: 5, c:5
Node 14, start at 818, n: 11, c:11
Node 15, start at 162, n: 11, c:11
Node 16, start at 444, n: 3, c:3
Node 17, start at 871, n: 11, c:11
Node 18, start at 513, n: 3, c:3
Node 19, start at 532, n: 13, c:13
Node 20, start at 737, n: 5, c:5
Node 0, start at 330, n: 3, c:3
Node 1, start at 893, n: 3, c:3
Node 2, start at 38, n: 3, c:3
Node 3, start at 396, n: 3, c:3
Node 4, start at 527, n: 3, c:3
Node 5, start at 375, n: 3, c:3
Node 6, start at 245, n: 3, c:3
Node 7, start at 512, n: 3, c:3
Node 8, start at 18, n: 3, c:3
Node 9, start at 63, n: 3, c:3
Node 10, start at 10, n: 3, c:3
Node 11, start at 541, n: 3, c:3
Node 12, start at 871, n: 3, c:3
Node 13, start at 639, n: 3, c:3
Node 14, start at 818, n: 3, c:3
Node 15, start at 162, n: 3, c:3
Node 16, start at 444, n: 3, c:3
Node 17, start at 871, n: 3, c:3
Node 18, start at 513, n: 3, c:3
Node 19, start at 532, n: 3, c:3
Node 20, start at 737, n: 3, c:3
Node 0, start at 969, n: 3, c:3
Node 1, start at 464, n: 5, c:5
Node 2, start at 554, n: 7, c:7
Node 3, start at 755, n: 3, c:3
Node 4, start at 516, n: 3, c:3
Node 5, start at 562, n: 3, c:3
Node 6, start at 651, n: 3, c:3
Node 7, start at 472, n: 11, c:11
Node 8, start at 800, n: 3, c:3
Node 9, start at 490, n: 3, c:3
Node 10, start at 662, n: 5, c:5
Node 11, start at 204, n: 5, c:5
Node 12, start at 966, n: 13, c:13
Node 13, start at 698, n: 5, c:5
Node 14, start at 194, n: 3, c:3
Node 15, start at 305, n: 5, c:5
Node 16, start at 888, n: 13, c:13
Node 17, start at 765, n: 5, c:5
Node 18, start at 341, n: 3, c:3
Node 19, start at 958, n: 7, c:7
Node 20, start at 93, n: 3, c:3
Node 0, start at 969, n: 3, c:3
